index,publishing year,book name,author,author_rating,book_average_rating,book_ratings_count,gross sales,publisher revenue,sale price,sales rank,publisher ,units sold,genre_children,genre_fiction,genre_genre fiction,genre_nonfiction
0,1975.0,Beowulf,"Unknown, Seamus Heaney",Novice,3.42,1.9354748049627044,34160.0,20496.0,4.88,1,HarperCollins Publishers,7000,0,0.0,1,0
1,1987.0,Batman: Year One,"Frank Miller, David Mazzucchelli, Richmond Lewis, Dennis O'Neil",Intermediate,4.23,1.5979658991752024,12437.5,7462.5,1.99,2,HarperCollins Publishers,6250,0,0.0,1,0
2,2015.0,Go Set a Watchman,Harper Lee,Novice,3.31,1.3885936012825792,47795.0,28677.0,8.69,3,"Amazon Digital Services,  Inc.",5500,0,0.0,1,0
3,2008.0,When You Are Engulfed in Flames,David Sedaris,Intermediate,4.04,1.7766526844788337,41250.0,24750.0,7.5,3,Hachette Book Group,5500,0,1.0,0,0
4,2011.0,Daughter of Smoke & Bone,Laini Taylor,Intermediate,4.04,3.2803062667222327,37952.5,22771.5,7.99,4,Penguin Group (USA) LLC,4750,0,0.0,1,0
5,2015.0,Red Queen,Victoria Aveyard,Intermediate,4.08,-0.36670022380539413,19960.0,0.0,4.99,5,"Amazon Digital Services,  Inc.",4000,0,0.0,1,0
6,2011.0,The Power of Habit,Charles Duhigg,Intermediate,4.03,1.9378230241267018,27491.67,16495.002,6.99,6,HarperCollins Publishers,3933,0,0.0,1,0
7,1994.0,Midnight in the Garden of Good and Evil,John Berendt,Intermediate,3.9,2.3192499748192343,26182.0,15709.2,6.89,8,Hachette Book Group,3800,0,0.0,0,1
8,2012.0,Hopeless,Colleen Hoover,Intermediate,4.34,3.0154969569444305,26093.67,15656.202,6.99,9,HarperCollins Publishers,3733,0,0.0,1,0
9,1905.0,A Little Princess,"Frances Hodgson Burnett, Nancy Bond",Intermediate,4.2,3.330729513365364,23792.34,14275.403999999999,6.49,10,Random House LLC,3666,0,0.0,1,0
10,2004.0,The Truth About Forever,Sarah Dessen,Intermediate,4.13,2.681573845285735,17964.0,0.0,4.99,11,"Amazon Digital Services,  Inc.",3600,0,0.0,1,0
11,1954.0,The horse and his boy,C.S. Lewis,Intermediate,3.9,3.007024328339197,21564.0,12938.4,5.99,11,Penguin Group (USA) LLC,3600,0,1.0,0,0
12,2010.0,Last Sacrifice ,Richelle Mead,Famous,4.42,3.550319737890516,3431.34,0.0,0.99,13,"Amazon Digital Services,  Inc.",3466,0,0.0,1,0
13,1935.0,Little House on the Prairie,"Laura Ingalls Wilder, Garth Williams",Intermediate,4.18,3.1895825019942836,6897.34,4138.404,1.99,13,HarperCollins Publishers,3466,0,0.0,1,0
14,1922.0,The Velveteen Rabbit,"Margery Williams Bianco, William   Nicholson",Intermediate,4.29,2.492891262189412,21797.82,13078.692,6.54,15,Random House LLC,3333,0,0.0,1,0
15,1974.0,Zen and the Art of Motorcycle Maintenance,Robert M. Pirsig,Intermediate,3.76,1.4121392583053627,16297.34,0.0,4.99,16,"Amazon Digital Services,  Inc.",3266,0,0.0,1,0
16,1897.0,The War of the Worlds,"H.G. Wells, Arthur C. Clarke",Intermediate,3.8,2.057613934181969,15968.0,0.0,4.99,17,"Amazon Digital Services,  Inc.",3200,0,0.0,1,0
17,2006.0,Pretty Little Liars,Sara Shepard,Intermediate,3.9,1.9489611988099862,15968.0,0.0,4.99,17,"Amazon Digital Services,  Inc.",3200,0,0.0,1,0
18,1948.0,Corduroy,Don Freeman,Intermediate,4.28,2.0927737562591173,6234.67,3740.802,1.99,18,Simon and Schuster Digital Sales Inc,3133,0,0.0,1,0
19,2006.0,The Omnivore's Dilemma,Michael Pollan,Intermediate,4.17,1.2173005330763986,3035.34,0.0,0.99,19,"Amazon Digital Services,  Inc.",3066,0,0.0,1,0
20,2013.0,Life After Life,Kate Atkinson,Intermediate,3.74,1.3817710726304249,11702.67,0.0,3.99,21,"Amazon Digital Services,  Inc.",2933,0,0.0,1,0
21,2000.0,The Rescue,Nicholas Sparks,Intermediate,4.1,1.4972146039631564,8569.34,0.0,2.99,22,"Amazon Digital Services,  Inc.",2866,0,0.0,1,0
22,1991.0,Needful Things,Stephen King,Intermediate,3.87,1.8694073414567267,2772.0,0.0,0.99,23,"Amazon Digital Services,  Inc.",2800,0,0.0,1,0
23,1993.0,Voyager,Diana Gabaldon,Intermediate,4.38,1.9828199805395146,8171.67,0.0,2.99,24,"Amazon Digital Services,  Inc.",2733,0,0.0,1,0
